2026-05-09 00:21:17 | INFO    | build_dataset:2751 | Processing 3 companies | forms: ('10-K', '10-Q', '8-K')
2026-05-09 00:21:17 | INFO    | process_company:2526 | ══ AAPL (Apple Inc) ══
2026-05-09 00:21:18 | INFO    | ticker_to_cik:1154 | CIK table: 10,380 entries
2026-05-09 00:21:19 | INFO    | load_xbrl_facts:1475 |   XBRL: 503 GAAP + 2 DEI
2026-05-09 00:21:19 | INFO    | get_filings:1212 |   10-K: 5 filings
2026-05-09 00:21:19 | INFO    | process_company:2553 |   ▶ 10-K | 2021-09-25 | 0000320193-21-000105
2026-05-09 00:21:44 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:21:45 | DEBUG   | get_narrative_doc:1242 |   Fast-path (2003KB, score=30): aapl-20210925.htm
2026-05-09 00:21:47 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=30)
2026-05-09 00:21:47 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 3831 chars
2026-05-09 00:21:47 | INFO    | scrape_text_sections:1392 |     Final sections: 2/6 | MD&A quality: poor (85 chars)
2026-05-09 00:21:47 | INFO    | process_company:2607 |     Metrics: 47 | decum: False
2026-05-09 00:21:55 | INFO    | process_company:2664 |     ✓ [FULL|Q=85|tier=silver|decum=False|qa=False]: 12 chars
2026-05-09 00:21:55 | INFO    | process_company:2553 |   ▶ 10-K | 2022-09-24 | 0000320193-22-000108
2026-05-09 00:21:55 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:21:56 | DEBUG   | get_narrative_doc:1242 |   Fast-path (2001KB, score=29): aapl-20220924.htm
2026-05-09 00:21:57 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=29)
2026-05-09 00:21:57 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 3897 chars
2026-05-09 00:21:57 | INFO    | scrape_text_sections:1392 |     Final sections: 2/6 | MD&A quality: poor (85 chars)
2026-05-09 00:21:57 | INFO    | process_company:2607 |     Metrics: 47 | decum: False
2026-05-09 00:21:57 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2022-09-24 vs 2021-09-25
2026-05-09 00:22:05 | WARNING | process_company:2685 |     ✗ LLM pending
2026-05-09 00:22:05 | INFO    | process_company:2553 |   ▶ 10-K | 2023-09-30 | 0000320193-23-000106
2026-05-09 00:22:06 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:22:07 | DEBUG   | get_narrative_doc:1242 |   Fast-path (1522KB, score=27): aapl-20230930.htm
2026-05-09 00:22:08 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=27)
2026-05-09 00:22:08 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 3965 chars
2026-05-09 00:22:08 | INFO    | scrape_text_sections:1392 |     Final sections: 2/6 | MD&A quality: poor (85 chars)
2026-05-09 00:22:08 | INFO    | process_company:2607 |     Metrics: 47 | decum: False
2026-05-09 00:22:08 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2023-09-30 vs 2022-09-24
2026-05-09 00:22:16 | WARNING | process_company:2685 |     ✗ LLM pending
2026-05-09 00:22:16 | INFO    | process_company:2553 |   ▶ 10-K | 2024-09-28 | 0000320193-24-000123
2026-05-09 00:22:17 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:22:19 | DEBUG   | get_narrative_doc:1242 |   Fast-path (1468KB, score=27): aapl-20240928.htm
2026-05-09 00:22:20 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=27)
2026-05-09 00:22:20 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 4009 chars
2026-05-09 00:22:20 | INFO    | scrape_text_sections:1392 |     Final sections: 2/6 | MD&A quality: poor (85 chars)
2026-05-09 00:22:20 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:22:20 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2024-09-28 vs 2023-09-30
2026-05-09 00:22:27 | INFO    | process_company:2664 |     ✓ [FULL|Q=95|tier=gold|decum=False|qa=True]: 1379 chars
2026-05-09 00:22:31 | INFO    | process_company:2682 |     ✓ Negative examples: 1 scenarios
2026-05-09 00:22:31 | INFO    | process_company:2553 |   ▶ 10-K | 2025-09-27 | 0000320193-25-000079
2026-05-09 00:22:31 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:22:32 | DEBUG   | get_narrative_doc:1242 |   Fast-path (1484KB, score=27): aapl-20250927.htm
2026-05-09 00:22:33 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=27)
2026-05-09 00:22:33 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 4116 chars
2026-05-09 00:22:33 | INFO    | scrape_text_sections:1392 |     Final sections: 2/6 | MD&A quality: poor (85 chars)
2026-05-09 00:22:33 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:22:33 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2025-09-27 vs 2024-09-28
2026-05-09 00:22:41 | INFO    | process_company:2664 |     ✓ [FULL|Q=70|tier=bronze|decum=False|qa=True]: 340 chars
2026-05-09 00:22:43 | INFO    | get_filings:1212 |   10-Q: 8 filings
2026-05-09 00:22:43 | INFO    | process_company:2553 |   ▶ 10-Q | 2023-12-30 | 0000320193-24-000006
2026-05-09 00:22:43 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:22:46 | DEBUG   | get_narrative_doc:1242 |   Fast-path (715KB, score=22): aapl-20231230.htm
2026-05-09 00:22:47 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/5 (item_score=22)
2026-05-09 00:22:47 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 1244 chars
2026-05-09 00:22:47 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:22:47 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:22:54 | WARNING | process_company:2685 |     ✗ LLM pending
2026-05-09 00:22:54 | INFO    | process_company:2553 |   ▶ 10-Q | 2024-03-30 | 0000320193-24-000069
2026-05-09 00:22:55 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:22:57 | DEBUG   | get_narrative_doc:1242 |   Fast-path (864KB, score=22): aapl-20240330.htm
2026-05-09 00:22:59 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=22)
2026-05-09 00:22:59 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:22:59 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:23:08 | INFO    | process_company:2664 |     ✓ [FULL|Q=45|tier=bronze|decum=False|qa=False]: 338 chars
2026-05-09 00:23:08 | INFO    | process_company:2553 |   ▶ 10-Q | 2024-06-29 | 0000320193-24-000081
2026-05-09 00:23:08 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:23:08 | DEBUG   | decumulate_10q_metrics:1649 |     De-cumulate Q2: rev $296.1B YTD → $85.8B discrete
2026-05-09 00:23:09 | DEBUG   | get_narrative_doc:1242 |   Fast-path (868KB, score=27): aapl-20240629.htm
2026-05-09 00:23:09 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=27)
2026-05-09 00:23:09 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:23:09 | INFO    | process_company:2607 |     Metrics: 46 | decum: True
2026-05-09 00:23:09 | WARNING | process_company:2628 |     ✗ SANITY BLOCK: 2 rule(s) triggered. Action: BLOCK.
2026-05-09 00:23:09 | WARNING | process_company:2687 |     ✗ LLM skipped — sanity BLOCK
2026-05-09 00:23:09 | INFO    | process_company:2553 |   ▶ 10-Q | 2024-12-28 | 0000320193-25-000008
2026-05-09 00:23:10 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:23:10 | DEBUG   | decumulate_10q_metrics:1649 |     De-cumulate Q4: rev $124.3B YTD → $-171.8B discrete
2026-05-09 00:23:10 | DEBUG   | get_narrative_doc:1242 |   Fast-path (715KB, score=24): aapl-20241228.htm
2026-05-09 00:23:11 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=24)
2026-05-09 00:23:11 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:23:11 | INFO    | process_company:2607 |     Metrics: 46 | decum: True
2026-05-09 00:23:11 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2024-12-28 vs 2023-12-30
2026-05-09 00:23:11 | WARNING | process_company:2628 |     ✗ SANITY BLOCK: 2 rule(s) triggered. Action: BLOCK.
2026-05-09 00:23:11 | WARNING | process_company:2687 |     ✗ LLM skipped — sanity BLOCK
2026-05-09 00:23:11 | INFO    | process_company:2553 |   ▶ 10-Q | 2025-03-29 | 0000320193-25-000057
2026-05-09 00:23:12 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:23:12 | DEBUG   | get_narrative_doc:1242 |   Fast-path (869KB, score=27): aapl-20250329.htm
2026-05-09 00:23:13 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=27)
2026-05-09 00:23:13 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:23:13 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:23:13 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2025-03-29 vs 2024-03-30
2026-05-09 00:25:18 | INFO    | build_dataset:2751 | Processing 3 companies | forms: ('10-K', '10-Q', '8-K')
2026-05-09 00:25:18 | INFO    | process_company:2526 | ══ AAPL (Apple Inc) ══
2026-05-09 00:25:18 | INFO    | ticker_to_cik:1154 | CIK table: 10,380 entries
2026-05-09 00:25:20 | INFO    | load_xbrl_facts:1475 |   XBRL: 503 GAAP + 2 DEI
2026-05-09 00:25:21 | INFO    | get_filings:1212 |   10-K: 5 filings
2026-05-09 00:25:21 | INFO    | process_company:2553 |   ▶ 10-K | 2021-09-25 | 0000320193-21-000105
2026-05-09 00:25:24 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:25:25 | DEBUG   | get_narrative_doc:1242 |   Fast-path (2003KB, score=30): aapl-20210925.htm
2026-05-09 00:25:26 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=30)
2026-05-09 00:25:26 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 3831 chars
2026-05-09 00:25:26 | INFO    | scrape_text_sections:1392 |     Final sections: 2/6 | MD&A quality: poor (85 chars)
2026-05-09 00:25:26 | INFO    | process_company:2607 |     Metrics: 47 | decum: False
2026-05-09 00:25:35 | INFO    | process_company:2664 |     ✓ [FULL|Q=100|tier=gold|decum=False|qa=False]: 1354 chars
2026-05-09 00:25:35 | INFO    | process_company:2553 |   ▶ 10-K | 2022-09-24 | 0000320193-22-000108
2026-05-09 00:25:36 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:25:37 | DEBUG   | get_narrative_doc:1242 |   Fast-path (2001KB, score=29): aapl-20220924.htm
2026-05-09 00:25:38 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 1/6 (item_score=29)
2026-05-09 00:25:38 | INFO    | scrape_text_sections:1380 |     Strategy-2 Risk fallback: 3897 chars
