2026-05-11 19:51:07 | INFO    | build_dataset:3466 | Processing 70 companies | workers=2 | 40 RPM rate limiter active (fixed token bucket)
2026-05-11 19:51:07 | INFO    | process_company:3152 | ══ BRK.B (Berkshire Hathaway Inc) ══
2026-05-11 19:51:07 | INFO    | process_company:3152 | ══ JPM (JPMorgan Chase & Co) ══
2026-05-11 19:51:09 | INFO    | ticker_to_cik:1553 | CIK table: 10,381 entries
2026-05-11 19:51:09 | WARNING | ticker_to_cik:1559 | No CIK for BRK.B
2026-05-11 19:51:09 | INFO    | process_company:3152 | ══ V (Visa Inc) ══
2026-05-11 19:51:09 | INFO    | build_dataset:3509 |   ✓ BRK.B: 0 records | total:0 | llm=llm_calls=0, throttled=0, rpm_cap=40
2026-05-11 19:51:09 | INFO    | load_xbrl_facts:1812 |   XBRL: 625 GAAP + 2 DEI
2026-05-11 19:51:10 | INFO    | load_xbrl_facts:1812 |   XBRL: 917 GAAP + 2 DEI
2026-05-11 19:51:10 | INFO    | get_filings:1603 |   10-K: 5 filings
2026-05-11 19:51:10 | INFO    | process_company:3178 |   ▶ 10-K | 2021-09-30 | 0001403161-21-000060
2026-05-11 19:51:12 | DEBUG   | fetch_abnormal_return:799 |   AR V: stock=-2.79% SPY=-2.29% abnormal=-0.50%
2026-05-11 19:51:12 | INFO    | process_company:3195 |     AR: -0.50% (neutral)
2026-05-11 19:51:12 | INFO    | get_filings:1603 |   10-K: 2 filings
2026-05-11 19:51:13 | INFO    | process_company:3178 |   ▶ 10-K | 2024-12-31 | 0000019617-25-000270
2026-05-11 19:51:13 | DEBUG   | fetch_abnormal_return:799 |   AR JPM: stock=-4.46% SPY=-1.60% abnormal=-2.86%
2026-05-11 19:51:13 | INFO    | process_company:3195 |     AR: -2.86% (negative)
2026-05-11 19:51:20 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 1/6
2026-05-11 19:51:20 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 5224 chars
2026-05-11 19:51:20 | INFO    | scrape_text_sections:1733 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 19:51:20 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 19:51:20 | INFO    | process_company:3254 |     Metrics:30 | decum:False | sections:2
2026-05-11 19:51:30 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 2/6
2026-05-11 19:51:31 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 4928 chars
2026-05-11 19:51:31 | INFO    | scrape_text_sections:1733 |     Final sections: 3/6 | MD&A: poor (86 chars)
2026-05-11 19:51:31 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 86 → 4135 chars
2026-05-11 19:51:31 | INFO    | process_company:3254 |     Metrics:22 | decum:False | sections:3
2026-05-11 19:51:36 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 469 chars, 0 causal phrases
2026-05-11 19:51:50 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 382 chars, 1 causal phrases
2026-05-11 19:51:53 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=4, throttled=0, rpm_cap=40
2026-05-11 19:51:53 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['capex', 'gross_margin_delta']
2026-05-11 19:52:00 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=5, throttled=0, rpm_cap=40
2026-05-11 19:52:00 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 70 → 80
2026-05-11 19:52:00 | INFO    | process_company:3376 |     ✓ [FULL|Q=80|tier=silver|gold=False|decum=False|qa=False|llm=llm_calls=5, throttled=0, rpm_cap=40]
2026-05-11 19:52:00 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex', 'gross_margin_delta']"]
2026-05-11 19:52:00 | INFO    | process_company:3178 |   ▶ 10-K | 2022-09-30 | 0001403161-22-000081
2026-05-11 19:52:01 | DEBUG   | fetch_abnormal_return:799 |   AR V: stock=+0.76% SPY=+1.76% abnormal=-1.01%
2026-05-11 19:52:01 | INFO    | process_company:3195 |     AR: -1.01% (neutral)
2026-05-11 19:52:03 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 1/6
2026-05-11 19:52:03 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 4731 chars
2026-05-11 19:52:03 | INFO    | scrape_text_sections:1733 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 19:52:03 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 19:52:03 | INFO    | process_company:3254 |     Metrics:30 | decum:False | sections:2
2026-05-11 19:52:06 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=6, throttled=0, rpm_cap=40
2026-05-11 19:52:06 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['capex', 'gross_margin_delta']
2026-05-11 19:52:17 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=7, throttled=0, rpm_cap=40
2026-05-11 19:52:17 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 60 → 60
2026-05-11 19:52:17 | INFO    | process_company:3376 |     ✓ [FULL|Q=60|tier=bronze|gold=False|decum=False|qa=False|llm=llm_calls=7, throttled=0, rpm_cap=40]
2026-05-11 19:52:17 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['ebitda', 'capex', 'gross_margin_delta']", 'REQ-7: invalid/incomplete signal']
2026-05-11 19:52:17 | INFO    | process_company:3178 |   ▶ 10-K | 2025-12-31 | 0001628280-26-008131
2026-05-11 19:52:17 | DEBUG   | fetch_abnormal_return:799 |   AR JPM: stock=+2.72% SPY=+1.13% abnormal=+1.60%
2026-05-11 19:52:17 | INFO    | process_company:3195 |     AR: +1.60% (neutral)
2026-05-11 19:52:25 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 543 chars, 0 causal phrases
2026-05-11 19:52:29 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 2/6
2026-05-11 19:52:29 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 4618 chars
2026-05-11 19:52:29 | INFO    | scrape_text_sections:1733 |     Final sections: 3/6 | MD&A: poor (86 chars)
2026-05-11 19:52:29 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 86 → 4135 chars
2026-05-11 19:52:29 | INFO    | process_company:3254 |     Metrics:22 | decum:False | sections:3
2026-05-11 19:52:35 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=9, throttled=0, rpm_cap=40
2026-05-11 19:52:35 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['capex', 'gross_margin_delta']
2026-05-11 19:52:44 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=10, throttled=0, rpm_cap=40
2026-05-11 19:52:44 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 70 → 80
2026-05-11 19:52:44 | INFO    | process_company:3376 |     ✓ [FULL|Q=80|tier=silver|gold=False|decum=False|qa=True|llm=llm_calls=10, throttled=0, rpm_cap=40]
2026-05-11 19:52:44 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex', 'gross_margin_delta']"]
2026-05-11 19:52:44 | INFO    | process_company:3178 |   ▶ 10-K | 2023-09-30 | 0001403161-23-000099
2026-05-11 19:52:45 | DEBUG   | fetch_abnormal_return:799 |   AR V: stock=+2.26% SPY=+1.19% abnormal=+1.07%
2026-05-11 19:52:45 | INFO    | process_company:3195 |     AR: +1.07% (neutral)
2026-05-11 19:52:47 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 1/6
2026-05-11 19:52:47 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 4889 chars
2026-05-11 19:52:47 | INFO    | scrape_text_sections:1733 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 19:52:47 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 19:52:47 | INFO    | process_company:3254 |     Metrics:30 | decum:False | sections:2
2026-05-11 19:52:54 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 426 chars, 1 causal phrases
2026-05-11 19:52:55 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 0 chars, 0 causal phrases
2026-05-11 19:53:04 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=13, throttled=1, rpm_cap=40
2026-05-11 19:53:04 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['ebitda', 'capex', 'gross_margin_delta']
2026-05-11 19:53:06 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=14, throttled=1, rpm_cap=40
2026-05-11 19:53:06 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['capex', 'eps', 'gross_margin_delta']
2026-05-11 19:53:16 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=15, throttled=1, rpm_cap=40
2026-05-11 19:53:16 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 60 → 80
2026-05-11 19:53:16 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=15, throttled=1, rpm_cap=40
2026-05-11 19:53:16 | INFO    | process_company:3376 |     ✓ [FULL|Q=80|tier=silver|gold=False|decum=False|qa=True|llm=llm_calls=15, throttled=1, rpm_cap=40]
2026-05-11 19:53:16 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex', 'gross_margin_delta']"]
2026-05-11 19:53:16 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 60 → 60
2026-05-11 19:53:16 | INFO    | process_company:3376 |     ✓ [FULL|Q=60|tier=bronze|gold=False|decum=False|qa=True|llm=llm_calls=16, throttled=1, rpm_cap=40]
2026-05-11 19:53:16 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex', 'eps', 'gross_margin_delta']", 'REQ-3: insufficient causal language (1 hits)']
2026-05-11 19:53:16 | INFO    | process_company:3178 |   ▶ 10-K | 2024-09-30 | 0001403161-24-000058
2026-05-11 19:53:17 | DEBUG   | fetch_abnormal_return:799 |   AR V: stock=-0.68% SPY=-1.12% abnormal=+0.45%
2026-05-11 19:53:17 | INFO    | process_company:3195 |     AR: +0.45% (neutral)
2026-05-11 19:53:19 | DEBUG   | generate_analysis:2670 |     LLM single-stage OK (attempt 1/5) | llm_calls=16, throttled=1, rpm_cap=40
2026-05-11 19:53:19 | INFO    | process_company:3400 |     ✓ Negative examples: 1 scenarios
2026-05-11 19:53:24 | INFO    | get_filings:1603 |   10-Q: 4 filings
2026-05-11 19:53:24 | INFO    | process_company:3178 |   ▶ 10-Q | 2025-03-31 | 0000019617-25-000421
2026-05-11 19:53:25 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 1/6
2026-05-11 19:53:25 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 4172 chars
2026-05-11 19:53:25 | INFO    | scrape_text_sections:1733 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 19:53:25 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 19:53:25 | INFO    | process_company:3254 |     Metrics:30 | decum:False | sections:2
2026-05-11 19:53:25 | DEBUG   | fetch_abnormal_return:799 |   AR JPM: stock=+2.67% SPY=+1.18% abnormal=+1.49%
2026-05-11 19:53:25 | INFO    | process_company:3195 |     AR: +1.49% (neutral)
2026-05-11 19:53:51 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 3/5
2026-05-11 19:53:51 | INFO    | scrape_text_sections:1733 |     Final sections: 3/5 | MD&A: poor (139 chars)
2026-05-11 19:53:51 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 139 → 2248 chars
2026-05-11 19:53:52 | INFO    | process_company:3254 |     Metrics:20 | decum:False | sections:3
2026-05-11 19:53:55 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 0 chars, 0 causal phrases
2026-05-11 19:53:59 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 548 chars, 2 causal phrases
2026-05-11 19:54:04 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=20, throttled=1, rpm_cap=40
2026-05-11 19:54:04 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['capex', 'gross_margin_delta']
2026-05-11 19:54:14 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=21, throttled=1, rpm_cap=40
2026-05-11 19:54:14 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['gross_margin_delta']
2026-05-11 19:54:21 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=22, throttled=1, rpm_cap=40
2026-05-11 19:54:21 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 70 → 80
2026-05-11 19:54:21 | INFO    | process_company:3376 |     ✓ [FULL|Q=80|tier=silver|gold=False|decum=False|qa=False|llm=llm_calls=22, throttled=1, rpm_cap=40]
2026-05-11 19:54:21 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['gross_margin_delta']", 'REQ-7: invalid/incomplete signal']
2026-05-11 19:54:21 | INFO    | process_company:3178 |   ▶ 10-Q | 2025-06-30 | 0000019617-25-000615
2026-05-11 19:54:22 | DEBUG   | fetch_abnormal_return:799 |   AR JPM: stock=+0.51% SPY=+2.34% abnormal=-1.84%
2026-05-11 19:54:22 | INFO    | process_company:3195 |     AR: -1.84% (neutral)
2026-05-11 19:54:26 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=22, throttled=1, rpm_cap=40
2026-05-11 19:54:26 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 70 → 80
2026-05-11 19:54:26 | INFO    | process_company:3376 |     ✓ [FULL|Q=80|tier=silver|gold=False|decum=False|qa=True|llm=llm_calls=22, throttled=1, rpm_cap=40]
2026-05-11 19:54:26 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex', 'gross_margin_delta']"]
2026-05-11 19:54:26 | INFO    | process_company:3178 |   ▶ 10-K | 2025-09-30 | 0001403161-25-000089
2026-05-11 19:54:27 | DEBUG   | fetch_abnormal_return:799 |   AR V: stock=-0.06% SPY=+0.26% abnormal=-0.32%
2026-05-11 19:54:27 | INFO    | process_company:3195 |     AR: -0.32% (neutral)
2026-05-11 19:54:50 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 1/6
2026-05-11 19:54:50 | INFO    | scrape_text_sections:1724 |     Strategy-2 Risk fallback: 3576 chars
2026-05-11 19:54:50 | INFO    | scrape_text_sections:1733 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 19:54:50 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 19:54:50 | INFO    | process_company:3254 |     Metrics:30 | decum:False | sections:2
2026-05-11 19:55:04 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 3/5
2026-05-11 19:55:04 | INFO    | scrape_text_sections:1733 |     Final sections: 3/5 | MD&A: poor (139 chars)
2026-05-11 19:55:04 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 139 → 2248 chars
2026-05-11 19:55:04 | INFO    | process_company:3254 |     Metrics:20 | decum:True | sections:3
2026-05-11 19:55:09 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 592 chars, 1 causal phrases
2026-05-11 19:55:20 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 273 chars, 0 causal phrases
2026-05-11 19:55:25 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=26, throttled=1, rpm_cap=40
2026-05-11 19:55:25 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=3 (need 3), missing=['capex']
2026-05-11 19:55:34 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=27, throttled=1, rpm_cap=40
2026-05-11 19:55:34 | INFO    | process_company:3376 |     ✓ [FULL|Q=90|tier=gold|gold=True|decum=False|qa=True|llm=llm_calls=27, throttled=1, rpm_cap=40]
2026-05-11 19:55:34 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex']"]
2026-05-11 19:55:35 | INFO    | get_filings:1603 |   10-Q: 8 filings
2026-05-11 19:55:35 | INFO    | process_company:3178 |   ▶ 10-Q | 2023-12-31 | 0001403161-24-000016
2026-05-11 19:55:36 | DEBUG   | fetch_abnormal_return:799 |   AR V: stock=+3.45% SPY=+1.42% abnormal=+2.02%
2026-05-11 19:55:36 | INFO    | process_company:3195 |     AR: +2.02% (positive)
2026-05-11 19:55:38 | DEBUG   | _call_llm:2536 |     LLM OK — Stage-B attempt 1/5 | llm_calls=27, throttled=1, rpm_cap=40
2026-05-11 19:55:38 | INFO    | generate_analysis_v18:2614 |     V18-3 Self-correction: causal=2 (need 3), missing=['capex', 'gross_margin_delta']
2026-05-11 19:55:45 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 3/5
2026-05-11 19:55:45 | INFO    | scrape_text_sections:1733 |     Final sections: 3/5 | MD&A: poor (85 chars)
2026-05-11 19:55:45 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 85 → 2193 chars
2026-05-11 19:55:45 | INFO    | process_company:3254 |     Metrics:30 | decum:False | sections:3
2026-05-11 19:56:04 | DEBUG   | _call_llm:2536 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=29, throttled=1, rpm_cap=40
2026-05-11 19:56:04 | INFO    | generate_analysis_v18:2626 |     ✓ Self-correction improved: 70 → 80
2026-05-11 19:56:04 | INFO    | process_company:3376 |     ✓ [FULL|Q=80|tier=silver|gold=False|decum=True|qa=False|llm=llm_calls=29, throttled=1, rpm_cap=40]
2026-05-11 19:56:04 | DEBUG   | process_company:3384 |     Elite rejections: ["REQ-2: missing ['capex', 'gross_margin_delta']"]
2026-05-11 19:56:04 | INFO    | process_company:3178 |   ▶ 10-Q | 2025-09-30 | 0001628280-25-048859
2026-05-11 19:56:05 | DEBUG   | fetch_abnormal_return:799 |   AR JPM: stock=+2.06% SPY=+1.15% abnormal=+0.91%
2026-05-11 19:56:05 | INFO    | process_company:3195 |     AR: +0.91% (neutral)
2026-05-11 19:56:10 | DEBUG   | generate_analysis_v18:2587 |     Stage A: 584 chars, 3 causal phrases
2026-05-11 19:56:21 | INFO    | scrape_text_sections:1714 |     Strategy-1 sections: 3/5
2026-05-11 19:56:21 | INFO    | scrape_text_sections:1733 |     Final sections: 3/5 | MD&A: poor (139 chars)
2026-05-11 19:56:21 | INFO    | enrich_thin_mda:1279 |     V18-7 Deep enrichment: 139 → 2248 chars
