Quality Score,Count,Proportion (%)
100.0,408,29.96
95.0,24,1.76
90.0,494,36.27
85.0,47,3.45
83.5,1,0.07
80.0,249,18.28
78.5,3,0.22
77.0,2,0.15
75.5,1,0.07
75.0,15,1.1
74.0,1,0.07
73.5,2,0.15
71.0,1,0.07
70.0,55,4.04
69.0,1,0.07
68.5,1,0.07
67.0,2,0.15
65.5,4,0.29
65.0,6,0.44
64.0,2,0.15
60.0,11,0.81
58.5,1,0.07
58.0,1,0.07
57.0,1,0.07
55.0,3,0.22
50.0,2,0.15
49.5,1,0.07
49.0,2,0.15
48.5,1,0.07
47.0,1,0.07
46.5,1,0.07
45.0,1,0.07
44.0,1,0.07
42.5,1,0.07
39.5,1,0.07
38.0,2,0.15
35.0,7,0.51
30.0,2,0.15
26.5,1,0.07
25.0,2,0.15
