2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:02:05 | DEBUG   | ticker_to_cik:1989 |   CIK AAPL: found in TITAN_CIKS → 0000320193
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ MSFT (Microsoft Corp) ══
2026-05-11 23:02:05 | DEBUG   | ticker_to_cik:1989 |   CIK MSFT: found in TITAN_CIKS → 0000789019
2026-05-11 23:02:07 | INFO    | load_xbrl_facts:2285 |   XBRL: 503 GAAP + 2 DEI
2026-05-11 23:02:07 | INFO    | load_xbrl_facts:2285 |   XBRL: 544 GAAP + 3 DEI
2026-05-11 23:02:08 | INFO    | get_filings:2076 |   10-K: 5 filings
2026-05-11 23:02:08 | INFO    | process_company:3811 |   ▶ 10-K | 2021-09-25 | 0000320193-21-000105
2026-05-11 23:02:08 | INFO    | get_filings:2076 |   10-K: 5 filings
2026-05-11 23:02:09 | INFO    | process_company:3811 |   ▶ 10-K | 2021-06-30 | 0001564590-21-039151
2026-05-11 23:02:10 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=+1.14% SPY=+2.02% abnormal=-0.89%
2026-05-11 23:02:10 | INFO    | process_company:3828 |     AR: -0.89% (neutral)
2026-05-11 23:02:11 | DEBUG   | fetch_abnormal_return:1146 |   AR MSFT: stock=+1.05% SPY=+0.25% abnormal=+0.80%
2026-05-11 23:02:11 | INFO    | process_company:3828 |     AR: +0.80% (neutral)
2026-05-11 23:02:15 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:02:15 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4763 chars
2026-05-11 23:02:15 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:02:15 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:02:15 | INFO    | process_company:3898 |     Metrics:47 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:02:20 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:02:20 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4844 chars
2026-05-11 23:02:20 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:02:20 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:02:20 | INFO    | process_company:3898 |     Metrics:43 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:02:30 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 690 chars, 5 connectors
2026-05-11 23:02:47 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 570 chars, 6 connectors
2026-05-11 23:02:59 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=4, throttled=0, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:02:59 | INFO    | generate_analysis_v19:3237 |     V19-3 Auditor cycle 1: score=80, causal=6, missing=['net_income_yoy']
2026-05-11 23:03:01 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=5, throttled=0, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:03:01 | INFO    | generate_analysis_v19:3237 |     V19-3 Auditor cycle 1: score=80, causal=9, missing=['gross_margin_delta']
2026-05-11 23:03:16 | DEBUG   | _call_llm_once:3107 |     LLM OK — Auditor-1 attempt 1/5 | llm_calls=6, throttled=1, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:03:16 | INFO    | generate_analysis_v19:3263 |     V19-3 Auditor REJECTED: 9 violations | score_est=15
