2026-05-13 15:48:20 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 100 remaining, 0 accessions cached
2026-05-13 15:48:20 | INFO    | process_company:3784 | ══ CL (Colgate-Palmolive Co) ══
2026-05-13 15:48:20 | DEBUG   | ticker_to_cik:1989 |   CIK CL: found in TITAN_CIKS → 0000021665
2026-05-13 15:48:20 | INFO    | process_company:3784 | ══ KMB (Kimberly-Clark Corp) ══
2026-05-13 15:48:20 | DEBUG   | ticker_to_cik:1989 |   CIK KMB: found in TITAN_CIKS → 0000055785
2026-05-13 15:48:24 | INFO    | load_xbrl_facts:2285 |   XBRL: 488 GAAP + 2 DEI
2026-05-13 15:48:25 | INFO    | load_xbrl_facts:2285 |   XBRL: 600 GAAP + 2 DEI
2026-05-13 15:48:26 | INFO    | get_filings:2076 |   10-K: 5 filings
2026-05-13 15:48:26 | INFO    | process_company:3811 |   ▶ 10-K | 2021-12-31 | 0000021665-22-000003
2026-05-13 15:48:26 | INFO    | get_filings:2076 |   10-K: 5 filings
2026-05-13 15:48:26 | INFO    | process_company:3811 |   ▶ 10-K | 2021-12-31 | 0000055785-22-000010
2026-05-13 15:48:33 | DEBUG   | fetch_abnormal_return:1146 |   AR CL: stock=-1.28% SPY=+0.16% abnormal=-1.43%
2026-05-13 15:48:33 | INFO    | process_company:3828 |     AR: -1.43% (neutral)
2026-05-13 15:48:35 | DEBUG   | fetch_abnormal_return:1146 |   AR KMB: stock=+0.52% SPY=-2.73% abnormal=+3.25%
2026-05-13 15:48:35 | INFO    | process_company:3828 |     AR: +3.25% (positive)
2026-05-13 15:48:44 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-13 15:48:44 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 5605 chars
2026-05-13 15:48:44 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-13 15:48:44 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-13 15:48:44 | INFO    | process_company:3898 |     Metrics:44 | decum:False | text_sourced:0 | sections:2
2026-05-13 15:48:44 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-13 15:48:44 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 1418 chars
2026-05-13 15:48:44 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-13 15:48:44 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 3552 chars
2026-05-13 15:48:44 | INFO    | process_company:3898 |     Metrics:36 | decum:False | text_sourced:0 | sections:2
2026-05-13 15:48:55 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 505 chars, 5 connectors
2026-05-13 15:48:56 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 387 chars, 5 connectors
2026-05-13 15:49:06 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=4, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-13 15:49:06 | INFO    | generate_analysis_v19:3237 |     V19-3 Auditor cycle 1: score=80, causal=6, missing=['gross_margin_delta']
2026-05-13 15:49:07 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=5, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-13 15:49:07 | INFO    | generate_analysis_v19:3237 |     V19-3 Auditor cycle 1: score=80, causal=7, missing=['capex', 'gross_margin_delta']
2026-05-13 15:49:14 | DEBUG   | _call_llm_once:3107 |     LLM OK — Auditor-1 attempt 1/5 | llm_calls=6, throttled=3, rpm=40/40, backoff=1.00, workers=2
2026-05-13 15:49:14 | INFO    | generate_analysis_v19:3263 |     V19-3 Auditor REJECTED: 5 violations | score_est=18
2026-05-13 15:49:22 | DEBUG   | _call_llm_once:3107 |     LLM OK — Auditor-1 attempt 1/5 | llm_calls=7, throttled=3, rpm=40/40, backoff=1.00, workers=2
2026-05-13 15:49:22 | INFO    | generate_analysis_v19:3263 |     V19-3 Auditor REJECTED: 15 violations | score_est=18
2026-05-13 15:49:26 | DEBUG   | _call_llm_once:3107 |     LLM OK — Rewrite-1 attempt 1/5 | llm_calls=8, throttled=3, rpm=40/40, backoff=1.00, workers=2
2026-05-13 15:49:26 | INFO    | generate_analysis_v19:3281 |     V19-3 Rewrite improved: 80 → 90
