2026-05-19 16:34:07 | INFO    | build_dataset:4656 | Resume mode: 0 tickers done, 100 remaining, 0 accessions cached
2026-05-19 16:34:07 | INFO    | process_company:4172 | ══ AAPL (Apple Inc) ══
2026-05-19 16:34:07 | INFO    | process_company:4172 | ══ MSFT (Microsoft Corp) ══
2026-05-19 16:34:09 | INFO    | load_xbrl_facts:2886 |   XBRL: 503 GAAP + 2 DEI
2026-05-19 16:34:09 | INFO    | load_xbrl_facts:2886 |   XBRL: 544 GAAP + 3 DEI
2026-05-19 16:34:10 | INFO    | get_filings:2753 |   10-K: 5 filings
2026-05-19 16:34:10 | INFO    | process_company:4211 |   ▶ 10-K | 2021-09-25 | 0000320193-21-000105
2026-05-19 16:34:11 | INFO    | get_filings:2753 |   10-K: 5 filings
2026-05-19 16:34:11 | INFO    | process_company:4211 |   ▶ 10-K | 2021-06-30 | 0001564590-21-039151
2026-05-19 16:34:14 | INFO    | process_company:4229 |     AR: -0.89% (neutral)
2026-05-19 16:34:14 | INFO    | process_company:4229 |     AR: +0.80% (neutral)
2026-05-19 16:34:19 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 16:34:20 | INFO    | process_company:4259 |     V20-3 Segments found: 8 — ['and', 'Net', 'Operating income', 'Segment operating income', 'Total operating income', 'Form', 's net sales in', 'There was no single customer that accounted for more than']
2026-05-19 16:34:20 | INFO    | process_company:4291 |     Metrics:48 | decum:False | text_sourced:0 | scaling:millions | segments:8 | sections:2
2026-05-19 16:34:35 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 16:34:36 | INFO    | process_company:4259 |     V20-3 Segments found: 6 — ['Note', 'primarily Office', 'Revenue from Office', 'Item', 'Office', 'Windows']
2026-05-19 16:34:36 | INFO    | process_company:4291 |     Metrics:44 | decum:False | text_sourced:0 | scaling:millions | segments:6 | sections:2
2026-05-19 17:25:44 | WARNING | process_company:4517 |     ✗ No analysis generated for AAPL 2021-09-25
2026-05-19 17:25:44 | INFO    | process_company:4211 |   ▶ 10-K | 2022-09-24 | 0000320193-22-000108
2026-05-19 17:25:48 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 17:25:48 | INFO    | process_company:4259 |     V20-3 Segments found: 8 — ['Note', 'and', 'Includes', 'of revenue recognized in', 'that was included in deferred revenue as of September', 'billion of revenue recognized in', 'for', 'As of September']
2026-05-19 17:25:48 | INFO    | process_company:4291 |     Metrics:48 | decum:False | text_sourced:0 | scaling:millions | segments:8 | sections:2
2026-05-19 17:25:48 | INFO    | process_company:4346 |     ⚠ Liquidity paradox: CR=0.88 + Cash=$23.6B | Risk=HIGH
2026-05-19 17:43:48 | DEBUG   | _write_tiered:4117 |   Demoted gold→silver: missing abnormal return label
2026-05-19 17:43:48 | INFO    | process_company:4509 |     ✓ FULL [10-K|Q=100|tier=gold|auditor=0|causal=23|segs=8|xref=OK]: 3868 chars
2026-05-19 17:43:48 | INFO    | process_company:4211 |   ▶ 10-K | 2023-09-30 | 0000320193-23-000106
2026-05-19 17:43:52 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 17:43:52 | INFO    | process_company:4259 |     V20-3 Segments found: 8 — ['Note', 'for', 'and', 'As of September', 'and September', 'the Company had total deferred revenue of', 'the Company expects', 'within two-to-three years and']
2026-05-19 17:43:52 | INFO    | process_company:4291 |     Metrics:48 | decum:False | text_sourced:0 | scaling:millions | segments:8 | sections:2
2026-05-19 17:43:52 | INFO    | process_company:4346 |     ⚠ Liquidity paradox: CR=0.99 + Cash=$30.0B | Risk=HIGH
2026-05-19 17:44:36 | DEBUG   | _write_tiered:4117 |   Demoted gold→silver: missing abnormal return label
2026-05-19 17:44:36 | INFO    | process_company:4509 |     ✓ FULL [10-K|Q=100|tier=gold|auditor=0|causal=14|segs=8|xref=OK]: 3595 chars
2026-05-19 17:44:36 | INFO    | process_company:4211 |   ▶ 10-K | 2024-09-28 | 0000320193-24-000123
2026-05-19 17:44:37 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 17:44:37 | INFO    | process_company:4259 |     V20-3 Segments found: 8 — ['Note', 'for', 'and', 'As of September', 'and September', 'the Company had total deferred revenue of', 'the Company expects', 'within two-to-three years and']
