2026-05-27 17:27:41 | INFO    | <module>:4619 | v21 RAG | tickers=1 | forms=['10-K', '10-Q'] | max_per_form=8 | filings_root=filings | resume=True
2026-05-27 17:27:41 | INFO    | build_filing_manifest:282 | Filing manifest: 13 tickers, 365 HTML files
2026-05-27 17:27:41 | INFO    | build_dataset_v21:4338 | Pre-indexing local filings into Qdrant…
2026-05-27 17:27:41 | INFO    | index_filing:1020 |   Indexing AAPL 10-K 2019-09-28 (10-K_2019-09-28_0000320193-19-000119.html)
2026-05-27 17:27:58 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2019-09-28 10-K: 6 sections → 11 chunks
2026-05-27 17:27:58 | INFO    | _ensure_collection:768 | Created Qdrant collection: sec_filings_v21
2026-05-27 17:27:58 | INFO    | _get_embedder:745 | Loading embedding model: all-MiniLM-L6-v2
2026-05-27 17:28:09 | DEBUG   | upsert_chunks:826 |   Upserted 11 chunks to Qdrant
2026-05-27 17:28:09 | INFO    | index_filing:1042 |   → 11 chunks indexed
2026-05-27 17:28:09 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2019-06-29 (10-Q_2019-06-29_0000320193-19-000076.html)
2026-05-27 17:28:11 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2019-06-29 10-Q: 5 sections → 6 chunks
2026-05-27 17:28:13 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:13 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:13 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2019-12-28 (10-Q_2019-12-28_0000320193-20-000010.html)
2026-05-27 17:28:15 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2019-12-28 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:15 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:15 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:15 | INFO    | index_filing:1020 |   Indexing AAPL 10-K 2020-09-26 (10-K_2020-09-26_0000320193-20-000096.html)
2026-05-27 17:28:17 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2020-09-26 10-K: 6 sections → 11 chunks
2026-05-27 17:28:21 | DEBUG   | upsert_chunks:826 |   Upserted 11 chunks to Qdrant
2026-05-27 17:28:21 | INFO    | index_filing:1042 |   → 11 chunks indexed
2026-05-27 17:28:21 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2020-03-28 (10-Q_2020-03-28_0000320193-20-000052.html)
2026-05-27 17:28:23 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2020-03-28 10-Q: 5 sections → 8 chunks
2026-05-27 17:28:26 | DEBUG   | upsert_chunks:826 |   Upserted 8 chunks to Qdrant
2026-05-27 17:28:26 | INFO    | index_filing:1042 |   → 8 chunks indexed
2026-05-27 17:28:26 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2020-06-27 (10-Q_2020-06-27_0000320193-20-000062.html)
2026-05-27 17:28:28 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2020-06-27 10-Q: 5 sections → 8 chunks
2026-05-27 17:28:30 | DEBUG   | upsert_chunks:826 |   Upserted 8 chunks to Qdrant
2026-05-27 17:28:30 | INFO    | index_filing:1042 |   → 8 chunks indexed
2026-05-27 17:28:30 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2020-12-26 (10-Q_2020-12-26_0000320193-21-000010.html)
2026-05-27 17:28:31 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2020-12-26 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:31 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:31 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:31 | INFO    | index_filing:1020 |   Indexing AAPL 10-K 2021-09-25 (10-K_2021-09-25_0000320193-21-000105.html)
2026-05-27 17:28:33 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2021-09-25 10-K: 6 sections → 11 chunks
2026-05-27 17:28:36 | DEBUG   | upsert_chunks:826 |   Upserted 11 chunks to Qdrant
2026-05-27 17:28:36 | INFO    | index_filing:1042 |   → 11 chunks indexed
2026-05-27 17:28:36 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2021-03-27 (10-Q_2021-03-27_0000320193-21-000056.html)
2026-05-27 17:28:37 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2021-03-27 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:37 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:37 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:37 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2021-06-26 (10-Q_2021-06-26_0000320193-21-000065.html)
2026-05-27 17:28:39 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2021-06-26 10-Q: 5 sections → 8 chunks
2026-05-27 17:28:41 | DEBUG   | upsert_chunks:826 |   Upserted 8 chunks to Qdrant
2026-05-27 17:28:41 | INFO    | index_filing:1042 |   → 8 chunks indexed
2026-05-27 17:28:41 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2021-12-25 (10-Q_2021-12-25_0000320193-22-000007.html)
2026-05-27 17:28:42 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2021-12-25 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:42 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:42 | INFO    | index_filing:1042 |   → 6 chunks indexed
